time,value,anomaly
0,-0.1312324104791023,0
1,0.3987358609968449,0
2,0.8091081963448463,0
3,1.007887956153929,0
4,1.340090947274365,0
5,1.4651511875473089,0
6,1.5136285678340122,0
7,1.393177626300411,0
8,1.3430283913872911,0
9,1.1748949724841875,0
10,0.8473258545260131,0
11,0.5848240906362334,0
12,0.1442302215722563,0
13,-0.126736319970023,0
14,-0.5017327685987929,0
15,-0.8895087141930071,0
16,-1.1956158924275773,0
17,-1.2800106273140286,0
18,-1.5062910477958642,0
19,-1.5809139611115648,0
20,-1.305161149892086,0
21,-1.1508715001645171,0
22,-1.0457115943340234,0
23,-0.7858131915214203,0
24,-0.359195928954986,0
25,0.0702811650831723,0
26,0.427859856534893,0
27,0.8247472205384734,0
28,1.0023528044528611,0
29,1.270667589367131,0
30,1.4432647450843783,0
31,1.388798818000507,0
32,1.41670445317345,0
33,1.418474629525475,0
34,1.2120532212787465,0
35,0.8474818588786098,0
36,0.6414084991292014,0
37,0.0612035883676855,0
38,-0.2897297790110559,0
39,-0.6446194175706379,0
40,-0.9225108155641442,0
41,-1.205882744424691,0
42,-1.3566919864568616,0
43,-1.5194012812538955,0
44,-1.399558987035759,0
45,-1.556566946216726,0
46,-1.340240145687745,0
47,-1.0000075774054804,0
48,-0.8436488988642352,0
49,-0.2627312907513711,0
50,-0.089101319798827,0
51,0.3318038662321202,0
52,0.6521270490367156,0
53,0.9647257315655932,0
54,1.2746566483405493,0
55,1.464670493729655,0
56,1.4323730416541216,0
57,1.5671411067975565,0
58,1.351269735255224,0
59,1.0890400030688054,0
60,0.8155429992274821,0
61,0.5535847502386193,0
62,0.2058381969907278,0
63,-0.1869837091993111,0
64,-0.6748515339805796,0
65,-0.9599936192669076,0
66,-1.1097919480371192,0
67,-1.3020251876997426,0
68,-1.3964117681380492,0
69,-1.6044543884718268,0
70,-1.5646738969567342,0
71,-1.2390348962904736,0
72,-1.0517039440219935,0
73,-0.7743218595093017,0
74,-0.2204392636344111,0
75,-0.0413035808935955,0
76,0.4293188305217973,0
77,0.6246060857215114,0
78,1.0703636590776058,0
79,1.1836526563033511,0
80,1.4783438847095831,0
81,1.5485568476027878,0
82,1.3559293113746538,0
83,1.4251136378090292,0
84,1.2141815441129131,0
85,0.913795343733462,0
86,0.5603522282693587,0
87,0.190121122958187,0
88,-0.2314117872057834,0
89,-0.6421456689665626,0
90,-1.0096242788690757,0
91,-1.1280825673806596,0
92,-1.216497571676867,0
93,-1.5016986273557067,0
94,-1.3596448865054922,0
95,-1.426358466890388,0
96,-1.2721936481823684,0
97,-1.0265238393439633,0
98,-0.736506569469854,0
99,-0.5595711958889893,0
100,-0.1278488404320683,0
101,0.2878152552352315,0
102,0.499631850598756,0
103,1.0293194547534497,0
104,1.247825238223665,0
105,1.3928215418168577,0
106,1.5069721777285654,1
107,0.9750969206959874,1
108,0.3810431768946083,1
109,-0.4006611991656943,1
110,-1.2155515070975549,1
111,-1.9406777127055757,1
112,-2.843778782149305,1
113,-3.776948617716147,1
114,-4.5795964784777645,1
115,-5.477004606502212,1
116,-5.536807043781942,0
117,-5.805236279310288,0
118,-6.120286968658624,0
119,-6.0071501910416565,0
120,-6.042130976284176,0
121,-5.6129883406168615,0
122,-5.631595609764526,0
123,-5.304918410000558,0
124,-4.890938295945883,0
125,-4.607180017383619,0
126,-4.055789811014822,0
127,-3.778824307794608,0
128,-3.406084513174964,0
129,-3.176531127758212,0
130,-3.185744254138508,0
131,-3.092501355616988,0
132,-2.9293494299270386,0
133,-3.0713387493448296,0
134,-3.4355241956343923,0
135,-3.630117009114424,0
136,-4.060882057992818,0
137,-4.303908839843052,0
138,-4.631970676214023,0
139,-5.019961096337322,0
140,-5.487806097502648,0
141,-5.703826858389481,0
142,-5.798768605924254,0
143,-6.006289944819197,0
144,-5.841430605046416,0
145,-5.952332100606416,0
146,-5.812739091129259,0
147,-5.46958188543853,0
148,-5.208161721765823,0
149,-4.89916925054621,0
150,-4.327600954446477,0
151,-4.139355885700766,0
152,-3.742397036220634,0
153,-3.452930298209634,0
154,-3.257495440280834,0
155,-3.1594958455480144,0
156,-2.8751881082485395,0
157,-3.080730431661149,0
158,-3.060732922576568,0
159,-3.3614439673293126,0
160,-3.6189895213081966,0
161,-3.988553021603527,0
162,-4.255520485576649,0
163,-4.808707767559429,0
164,-4.906442159269467,0
165,-5.490235586862685,0
166,-5.646001230012235,0
167,-5.786038513849457,0
168,-6.124570029877223,0
169,-6.003005636662466,0
170,-5.904006064658622,0
171,-5.892859385379408,0
172,-5.5101413481846215,0
173,-5.273999641296114,0
174,-4.8824999195258005,0
175,-4.350729476268435,0
176,-4.087740333913656,0
177,-3.778595394054235,0
178,-3.5043655662950144,0
179,-3.3353958320039627,0
180,-3.1119974674099264,0
181,-3.019164416357837,0
182,-2.99489060737532,0
183,-3.224812641128389,0
184,-3.251462044447049,0
185,-3.63559347244333,0
186,-4.000644535953115,0
187,-4.356353283734936,0
188,-4.632725212670092,0
189,-5.019496785088398,0
190,-5.248478359525708,0
191,-5.617289285750714,0
192,-5.76945105497792,0
193,-5.817602458674267,0
194,-6.031234244083459,0
195,-5.877896804898627,0
196,-5.779600504836882,0
197,-5.450525833149193,0
198,-5.2676292395162365,0
199,-4.754822326423343,0
200,-4.454668234605802,0
201,-4.194992450563765,0
202,-3.7329677436453954,0
203,-3.505959172280834,0
204,-3.225874928774279,0
205,-2.975289213558956,0
206,-2.898889771501951,0
207,-3.156723459956948,0
208,-3.121131114783922,0
209,-3.3696615433320427,0
210,-3.5787694365994653,0
211,-3.975885887254069,0
212,-4.27621822734722,0
213,-4.795232050014174,0
214,-5.021608839653778,0
215,-5.443798907894633,0
216,-5.624010568025864,0
217,-5.86920438107428,0
218,-5.880349719553288,0
219,-5.872274869337109,0
220,-5.976230103062171,0
221,-5.506599852117071,0
222,-5.497462762447637,0
223,-5.198087109679339,0
224,-4.896385860289923,0
225,-4.60684916915097,0
226,-4.173830583153305,0
227,-3.785619143541489,0
228,-3.401707384007572,0
229,-3.307260310020193,0
230,-3.1555070147784443,0
231,-3.021061063573991,0
232,-3.0712026618437203,0
233,-3.216470313409644,0
234,-3.3376128907544107,0
235,-3.663529074298075,0
236,-3.863396511999293,0
237,-4.242471152243527,0
238,-4.858186624947927,0
239,-5.078299626857014,0
240,-5.39397978363942,0
241,-5.564526319886319,0
242,-5.904254621553653,0
243,-5.994051361684753,0
244,-5.910980784753858,0
245,-5.839587101387098,0
246,-5.713828050351037,0
247,-5.623113519689104,0
248,-5.108457428561747,0
249,-4.886532079570959,0
250,-4.528211052571188,0
251,-4.092438978453087,0
252,-3.668212879292092,0
253,-3.455066324516308,0
254,-3.2363331120417653,0
255,-3.011050248314382,0
256,-2.830507197200923,0
257,-3.0970393071363747,0
258,-3.1343727279103075,0
259,-3.1537727333529557,0
260,-3.588052240404385,0
261,-4.089175750021965,0
262,-4.21619124726369,0
263,-4.72141897013196,0
264,-5.147460681946437,0
265,-5.334015290824056,0
266,-5.678152539495612,0
267,-5.887412322818819,0
268,-6.013678908103957,0
269,-5.935305762517421,0
270,-5.924695381697141,0
271,-5.652676678626445,0
272,-5.499099822592493,0
273,-5.25867792331523,0
274,-4.7948598750206735,0
275,-4.417584301007478,0
276,-4.286933447295793,0
277,-3.720429163992278,0
278,-3.4945679063661697,0
279,-3.1974772559016142,0
280,-3.038315173942064,0
281,-2.799784761305148,0
282,-2.87513766515223,0
283,-3.0867041649329785,0
284,-3.3884582798424008,0
285,-3.679328983404555,0
286,-3.961080435798827,0
287,-4.273971587005324,0
288,-4.70800821266425,0
289,-5.116391480676854,0
290,-5.264729264172024,0
291,-5.737721529010817,0
292,-5.800387391336603,0
293,-6.063388873803135,0
294,-5.983812306780779,0
295,-5.992264587562637,0
296,-5.757671254033028,0
297,-5.598683284061632,0
298,-5.363714109823178,0
299,-4.8593591261857565,0
300,-4.541136921020645,0
301,-4.130912791985637,0
302,-3.5393651995502675,0
303,-3.223114077287152,0
304,-3.1132552120207984,0
305,-2.9974480082356414,0
306,-2.8646206668884164,0
307,-3.051779896042739,0
308,-3.1053531346406533,0
309,-3.425067091616353,0
310,-3.575052067065559,0
311,-3.9413238073274286,0
312,-4.283215986024915,0
313,-4.587895043516931,0
314,-4.926802489880925,0
315,-5.405153458306896,0
316,-5.646503416974787,0
317,-5.741160895987111,0
318,-5.981522564352826,0
319,-5.921785275850803,0
320,-5.860009390880762,0
321,-5.75984315396,0
322,-5.626164016088541,0
323,-5.204751662758438,0
324,-4.783285221238273,0
325,-4.534863192770385,0
326,-4.212215622599643,0
327,-3.758732391981375,0
328,-3.446877380027116,0
329,-3.243413865350472,0
330,-3.112838615168425,0
331,-3.046826607292088,0
332,-3.096262663749576,0
333,-3.1128781898302487,0
334,-3.4459232250061187,0
335,-3.7466908505451126,0
336,-3.935918276245882,0
337,-4.152063644991373,0
338,-4.483899829606464,0
339,-5.200151632632893,0
340,-5.341191909514375,0
341,-5.615031875656257,0
342,-5.784959738868237,0
343,-5.879401416023276,0
344,-6.013549884925006,0
345,-5.945505027476252,0
346,-5.765739102797391,0
347,-5.490799030221637,0
348,-5.369403077570803,0
349,-4.915371180120361,0
350,-4.587242686663534,0
351,-4.128553352325241,0
352,-3.752539112651332,0
353,-3.5006665598154894,0
354,-3.168972456229105,0
355,-3.091910023022323,0
356,-2.891169925062542,0
357,-3.056523477182736,0
358,-3.118368949377209,0
359,-3.3933011998719094,0
360,-3.619756327908732,0
361,-3.8733425472726943,0
362,-4.321719891579581,0
363,-4.700812130923024,0
364,-4.992904722241604,0
365,-5.299791685397555,0
366,-5.686151108957734,0
367,-5.81700728343392,0
368,-6.133279475591923,0
369,-5.977309340934911,0
370,-6.021914123354793,0
371,-5.696809379755764,0
372,-5.671676623162703,0
373,-5.22081436060726,0
374,-4.964061696198166,0
375,-4.4858897282208,0
376,-4.169884961693272,0
377,-3.571485641489296,0
378,-3.4638077926557145,0
379,1.1865984266414435,1
380,1.9718138017854847,1
381,2.4174300198732848,1
382,2.859698588914008,1
383,3.38193676659614,1
384,3.506998293453366,1
385,3.8942131372165134,1
386,4.0387697790631085,1
387,4.276367787286478,1
388,4.278744550699296,1
389,-0.4967652864700369,0
